State,ExternalRef ID,Contract ID Info,ID,Title,Work Item Type,Node Name
"Active","nityanand.giri",,"4371808","Feb 21st || UAT1 || Mobilization Calculator- In version sync popup, when user click on filter icon in Comments/feedback , data is overlapping","Bug","Everest"
"Active","nityanand.giri",,"4371732","Suggestion| Feb 21st | UAT1| Mobilization Calculator| Bottom Up| In the Sync Popup, after editing Name & Comments/feedback fields, and clicking save,  Success message should be displayed.","Bug","Everest"
"BA clarification","nityanand.giri","srinivasan.sivakumar","4312257","[External]Jan10th_UAT | Regression | BPMS | Estimators/Calculators | Reports data is mismatching","Bug","CodeCatalyst"
"Active","nityanand.giri","srinivasan.sivakumar","4331045","[Tracking bug]: 21st Feb | PROD AMS OCP | Simulation Failure with ""SolutionVersionInsertion Cannot insert the value NULL into column 'EconomicProfileCd'"" exception","Bug","Everest"
"Active","nityanand.giri","srinivasan.sivakumar","4337155","Feb 21st | Stage | Value Shaping | Incorrect error message and single select dropdown fields issue in 360 diagnostics (Existing prod Issue)","Bug","Spartans"
"Active","nityanand.giri",,"4358511","21st Feb | PT & UAT | IPC Calculator | In""Reason for not solutioning IPC"" while adding the reason and clicking on Add button reason pop is not getting closed in one go also validation msg for adding the reason is showing inside the pop up","Bug","TitansPlus"
"Ready to Deploy","nityanand.giri","srinivasan.sivakumar","4358541","Feb 21| Ops Stage/UAT | Value Shaping | Under SVP-Summary, Accenture Value Proposition text box alignments is not as expected","Bug","Spartans"
"Active","nityanand.giri","srinivasan.sivakumar","4358868","Feb 21st| UAT1| Mobilization Calculator| Bottom Up| In weekly Ramp, while editing phase level FTEs and violate the sequence, system is not displaying validation message","Bug","Everest"
"Active","nityanand.giri","srinivasan.sivakumar","4364079","Feb 21|UAT1 |Mob Cal |In Bottom Up ,weekly ramp is not loading when we used 40 Groups 40 waves, when each wave mapped to multiple groups with 1000 staffing records & 820 FTES","Bug","Everest"
"Ready to Deploy","nityanand.giri","srinivasan.ks","4364216","Feb 21 | Stage/UAT | Value Shaping | User deleted Stratagic Objective and click on Opportunities/Opp workflow then getting incorrect toaster msg","Bug","Spartans"
"Ready to Deploy","nityanand.giri","srinivasan.sivakumar","4367554","Feb 21| Ops Stage/UAT | Value Shaping | Under IDT Summary the bottom of the screen is not displaying as expected","Bug","Spartans"
"Ready to Deploy","nityanand.giri","srinivasan.sivakumar","4367690","Feb 21| Ops Stage/UAT | Value Shaping | Under IDT, cleared data is retrieved which is not expected","Bug","Spartans"
"Active","mervinkumar.manickam","srinivasan.ks","4369576","21 Feb | UAT 1 | Regression | Solution Components | Unable to select values in productivity Assessment.","Bug","TechAvengers"
"Ready to Deploy","mervinkumar.manickam",,"4371458","21st Feb | UAT1 | SI DCTA | Regression | Filter pop up is coming behind the Material code sheet for Type of Service, when clicking on filter icon for all the columns in sheet","Bug","DevStormers"
"Ready to Deploy","mervinkumar.manickam","madhuri.chintala","4367654","21st Feb| UAT1| SI DCTA | ""This solution version status is Submitted to CDTS. Hence it is locked for editing"" This toaster msg is not displaying for few R2 screens","Bug","TechAvengers"
"Ready to Deploy","mervinkumar.manickam","madhuri.chintala","4367190","21st Feb | UAT1 | UI_Revamp | Version | After clicking Preference and navigating back, then clicking on lock and edit, the version screen appears in read-only mode.","Bug","TechAvengers"
"Active","mervinkumar.manickam","madhuri.chintala","4364185","21 Feb | Stage & UAT 1 | SI | DCSO | All Solution IDs Are Replaced with New ID After Import Using ""Replace"" Option","Bug","TechAvengers"
"Ready to Deploy","mervinkumar.manickam",,"4364526","21st Feb | PT/UAT1 | SI DCTA | % of price in expense tab is not displaying correctly for Deal wide target / custom margin with tool tip message showing wrong in Pricing Input screen","Bug","DevStormers"
"Ready to Deploy","mervinkumar.manickam","madhuri.chintala","4364905","21st Feb | SI | PT / UAT1 | Saving the data from Expense tab while switching the tab we are getting two ""Data saved successfully"" pop up in both the corners","Bug","DevStormers"
"Ready to Deploy","mervinkumar.manickam","madhuri.chintala","4361944","21 Feb | UAT 1 | PLD | Solution Components | Generate Pricing option is enable under One Click Pricing for Cross Service Lead.","Bug","TechAvengers"
"Active","m.ohlan","Rajsingh.rajput","4367080","FY26[myISP-BPMS] | Intelligent PTP | Customer care| Pre-Go live Seat Cost is not matching post performing MRDB and multiple issues with deviation from standard , DMI and Bulk GS Template upload","Bug","Goofy"
"Active","k.v.krishnamoorthy",,"4371535","Prod | IMS | Solution Standard Values are not matching for Blended LCR Without COLA - (US$/Hr) &  Offshore LCR Including Seat Charge (Without COLA)($) in Analytics Report","Bug","CodingCrusaders"
"Active","k.devaraj",,"4371695","21st Feb || Uat1 || IMS OCP || Regression || SLA Penalty and Fee at Risk is not matching with Manual Calculations.","Bug","CreativeCoders"
"Ready to Deploy","k.devaraj",,"4371697","Regression: 21st Feb | UAT1 | IMS OCP | Blended ADR value is not coming correct for FY View (YOY)-Detail report.","Bug","CreativeCoders"
"Active","K.devaraj","madhuri.chintala","4371711","Feb_UAT | Regression | RA| KDA Variance Analysis | Deal Specific |Dropdown values and comment values added are not retaining after saving","Bug","CreativeCoders"
"Active","k.devaraj",,"4371730","21st Feb | UAT1 | SI DCTA | Regression | Compliance Rag Colour for blended LCR fields is showing incorrect in KDA Variance Analysis for both MMP DCTA KDA and OCP KDA","Bug","Insurgents"
"New","k.devaraj",,"4372051","21st Feb || IMS DCTA || UAT1 || Regression || Unable to download Export excels.","Bug","CodingCrusaders"
"Active","Francis.Deepak",,"4371459","Feb UAT || Getting system error while Generating DCSO Reports","Bug","TechMavericks"
"Active","Francis.Deepak",,"4371769","MyISP | PT Env | Regression | Client City Location is getting disappearing in Productivity Assessment screen.","Bug","TechCoders"
"Active","Francis.deepak",,"4371775","Suggestion: After saving records in LBS grid row highlighted in Amber Color should be in lighter shade","Bug","TechCoders"
"Ready to Deploy","Francis.Deepak","srinivasan.ks","4367324","PT Env _ Import Costing getting failed even Currency ""USD"" is there in other Cost UI.","Bug","TechCoders"
"Re-open","Francis.Deepak","srinivasan.ks","4356708","FEB 21| SI | PT | Differentiation | Version dropdown alignment is not correct it's overlapping the Version column in all the differentiation field","Bug","TechCoders"
"Re-open","Francis.Deepak","srinivasan.ks","4356237","21st FEB | myISP | UAT1 | AMS |Productivity Assessment | Getting System Error on Click of Export Icon","Bug","TechCoders"
"Re-open","Francis.Deepak","srinivasan.ks","4354020","21st Feb | UAT1 | AMS -LBS Staffing | Rate card name field can be highlighted in Dark grey color only when pricing input is not Hourly rate","Bug","TechCoders"
"Re-open","Francis.Deepak","srinivasan.ks","4120856","13th Sep | Stage | AMS | Query | If we change role ID form Super user (30) to Support SA (31) in the Url Ramp up planner is enabled.","Bug","TechCoders"
"Active","Francis.Deepak","srinivasan.ks","4228560","8th Nov | UI_Revamp | UAT1_Myisp | AMS| Tax input | Sub-tabs |Super User| Experiencing performance issues in tax input sub-tabs.","Bug","TechCoders"
"Blocked","Francis.Deepak","srinivasan.ks","4343779","AI Foundry _SSA_ US-4279700_ UAT | Quick and detail version| Bill Code is not getting Applied form profile in Staffing.","Bug","TechCoders"
"Ready to Deploy","Francis.Deepak","srinivasan.ks","4348536","Jan 31 || Prod Sanity || AMS || Import issue Productivity Assessment","Bug","TechCoders"
"Active","Francis.deepak",,"4371648","21st Feb | UAT1 | AMS | Ramp Up Planner | Ramp Up Planner screen is coming blank with Super User role.","Bug","TechCoders"
"Active","Francis.Deepak","madhuri.chintala","4371522","Feb 21 | UAT 1 | PLD | Add new Cost calculator is enabled in asset & platform and sustainability screen in Differentiation under Solution components for PLD","Bug","TechCoders"
"Re-open","anil.kadari",,"4371461","21st Feb | UAT 1 | New AMS VT | Cosmetic issue in ATC - Mexco - -Actual pyramid metrics for each career level and each shore","Bug","Cognilytics"
