System.Id,System.AreaPath,Node Name,SM POC,AD POC,System.State,Microsoft.VSTS.Common.Severity,Custom.Application,System.Title
4358541,AutomationProcess_29697\mySPVisionToValue\Spartans,Spartans,suresh.devarajan,srinivasan.sivakumar,Active,4 - Low,Global,"Feb 21| Ops Stage/UAT | Value Shaping | Under SVP-Summary, Accenture Value Proposition text box alignments is not as expected"
4358693,AutomationProcess_29697\mySPRapidSolutioning\Simulators,Simulators,vishnupriya.aluru,srinivasan.ks,Active,3 - Medium,Mycloud,Feb21st || UAT1 || BPMS Send for Pricing: MDA Sync Abort getting Failed
4358724,AutomationProcess_29697\mySPRapidSolutioning\Simulators,Simulators,vishnupriya.aluru,srinivasan.ks,Active,2 - High,Mycloud,Feb21st || UAT1 || BPMS MMP: MDA HC/PY values not in sync with BDL FTEs
4359249,AutomationProcess_29697\mySPVisionToValue\Everest,Everest,suresh.devarajan,srinivasan.sivakumar,Active,3 - Medium,Global,"Feb 21st || UAT1 || Mobilization Calculator- In version sync popup, on hovering name ,tooltip is not displaying and on clicking filter & 3 dots, tooltip are displaying backside"
4359413,AutomationProcess_29697\mySPIntegratedSolutionPlatform\SolutionDataLake,SolutionDataLake,vishnupriya.aluru,srinivasan.ks,BA clarification,2 - High,Mycloud,Feb21st || UAT1 || MDA Version Comparator- BPMS MMP- Headcount Summary values not in sync with BDL
4359508,AutomationProcess_29697\mySPIntegratedSolutionPlatform\Cognilytics,Cognilytics,vishnupriya.aluru,srinivasan.ks,BA clarification,2 - High,Mycloud,21st FEB | myISP | PT | PipelineExtractReport | Comparing data from View MMS Details offerings with pipeline report is not matching
4359629,AutomationProcess_29697\mySPIntegratedSolutionPlatform\MYISP_Revamp_UI,MYISP_Revamp_UI,mahesh.kt,srinivasan.ks,New,4 - Low,Mycloud,"21st FEB | myISP | PT | Transition to delivery | Transition to delivery screen, ""Closure Notes from PMO"" field is highlighting in super user role"
4360911,AutomationProcess_29697\mySPIntegratedSolutionPlatform\myISP_BPMS,myISP_BPMS,biju.balakrishnan,Rajsingh.rajput,Active,1 - Critical,Global,21st Feb | UAT 1 | BPMS DCTA | Post triggering MMP View KDA button not enabled.
4361121,AutomationProcess_29697\mySPIntegratedSolutionPlatform\SolutionDataLake,SolutionDataLake,vishnupriya.aluru,srinivasan.ks,Blocked in PT,2 - High,Mycloud,"Feb 21st_UAT1_IMS_MDA_Headcount_IMS FTE Deal Pivot_Data in On/Off Split, Yearly FTE, Half year FTE, On/Off Detailed view, Phase-Country-Service,Transition FTE tabs is incorrect"
4361129,AutomationProcess_29697\mySPIntegratedSolutionPlatform\TechPhantoms,TechPhantoms,sankaran.viswanathan,madhuri.chintala,Active,2 - High,Global,21 Feb | CDAT | PT & UAT | Opportunities previously assigned to them and already worked on are no longer visible in the opportunities dashboard for CDAT CM SME roles
