ID,Node Name,ExternalRef ID,Status
4395055,AutomationProcess_29697,N/A,No mapping found
4395056,AutomationProcess_29697,N/A,No mapping found
4395052,AutomationProcess_29697,N/A,No mapping found
4395053,AutomationProcess_29697,N/A,No mapping found
4443708,SolutionDataLake,vishal.v.nadpurohit,Already updated
4441048,SolutionDataLake,vishal.v.nadpurohit,Already updated
4441061,SolutionDataLake,vishal.v.nadpurohit,Already updated
4441798,SolutionDataLake,vishal.v.nadpurohit,Already updated
4441806,SolutionDataLake,vishal.v.nadpurohit,Already updated
4441813,SolutionDataLake,vishal.v.nadpurohit,Already updated
4441820,SolutionDataLake,vishal.v.nadpurohit,Already updated
4441824,SolutionDataLake,vishal.v.nadpurohit,Already updated
4441844,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440539,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440660,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440663,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440665,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440771,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440784,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440796,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440809,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440815,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440819,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440824,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440835,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440870,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440874,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440881,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440883,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440531,SolutionDataLake,vishal.v.nadpurohit,Already updated
4438561,SolutionDataLake,vishal.v.nadpurohit,Already updated
4438581,SolutionDataLake,vishal.v.nadpurohit,Already updated
4438582,SolutionDataLake,vishal.v.nadpurohit,Already updated
4438513,SolutionDataLake,vishal.v.nadpurohit,Already updated
4438523,SolutionDataLake,vishal.v.nadpurohit,Already updated
4438524,SolutionDataLake,vishal.v.nadpurohit,Already updated
