ID,Node Name,ExternalRef ID,Status
4447065,HustleHub,N/A,No mapping found
4308730,SolutionDataLake,vishal.v.nadpurohit,Already updated
4286470,SolutionDataLake,vishal.v.nadpurohit,Already updated
4312353,SolutionDataLake,vishal.v.nadpurohit,Already updated
4318766,SolutionDataLake,vishal.v.nadpurohit,Already updated
4357821,SolutionDataLake,vishal.v.nadpurohit,Already updated
4367337,SolutionDataLake,vishal.v.nadpurohit,Already updated
4369392,SolutionDataLake,vishal.v.nadpurohit,Already updated
4369422,SolutionDataLake,vishal.v.nadpurohit,Already updated
4368213,SolutionDataLake,vishal.v.nadpurohit,Already updated
4372034,SolutionDataLake,vishal.v.nadpurohit,Already updated
4391918,SolutionDataLake,vishal.v.nadpurohit,Already updated
4392076,SolutionDataLake,vishal.v.nadpurohit,Already updated
4393219,SolutionDataLake,vishal.v.nadpurohit,Already updated
4410430,SolutionDataLake,vishal.v.nadpurohit,Already updated
4437622,SolutionDataLake,vishal.v.nadpurohit,Already updated
4437836,SolutionDataLake,vishal.v.nadpurohit,Already updated
4438523,SolutionDataLake,vishal.v.nadpurohit,Already updated
4438524,SolutionDataLake,vishal.v.nadpurohit,Already updated
4438544,SolutionDataLake,vishal.v.nadpurohit,Already updated
4438545,SolutionDataLake,vishal.v.nadpurohit,Already updated
4438546,SolutionDataLake,vishal.v.nadpurohit,Already updated
4438547,SolutionDataLake,vishal.v.nadpurohit,Already updated
4438548,SolutionDataLake,vishal.v.nadpurohit,Already updated
4438513,SolutionDataLake,vishal.v.nadpurohit,Already updated
4438561,SolutionDataLake,vishal.v.nadpurohit,Already updated
4438581,SolutionDataLake,vishal.v.nadpurohit,Already updated
4438582,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440539,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440660,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440663,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440665,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440771,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440784,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440796,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440809,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440815,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440819,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440824,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440531,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440835,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440870,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440874,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440881,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440883,SolutionDataLake,vishal.v.nadpurohit,Already updated
4441048,SolutionDataLake,vishal.v.nadpurohit,Already updated
4441061,SolutionDataLake,vishal.v.nadpurohit,Already updated
4441798,SolutionDataLake,vishal.v.nadpurohit,Already updated
4441806,SolutionDataLake,vishal.v.nadpurohit,Already updated
4441813,SolutionDataLake,vishal.v.nadpurohit,Already updated
4441820,SolutionDataLake,vishal.v.nadpurohit,Already updated
4441824,SolutionDataLake,vishal.v.nadpurohit,Already updated
4441844,SolutionDataLake,vishal.v.nadpurohit,Already updated
4443708,SolutionDataLake,vishal.v.nadpurohit,Already updated
4444273,SolutionDataLake,vishal.v.nadpurohit,Already updated
4446565,SolutionDataLake,vishal.v.nadpurohit,Already updated
4446670,SolutionDataLake,vishal.v.nadpurohit,Already updated
4446872,SolutionDataLake,vishal.v.nadpurohit,Already updated
4446873,SolutionDataLake,vishal.v.nadpurohit,Already updated
4446874,SolutionDataLake,vishal.v.nadpurohit,Already updated
4446875,SolutionDataLake,vishal.v.nadpurohit,Already updated
4446876,SolutionDataLake,vishal.v.nadpurohit,Already updated
4446877,SolutionDataLake,vishal.v.nadpurohit,Already updated
4446878,SolutionDataLake,vishal.v.nadpurohit,Already updated
4446881,SolutionDataLake,vishal.v.nadpurohit,Already updated
4446503,MYISP_Revamp_UI,vikrant.r.mohite,Already updated
4444345,MYISP_Revamp_UI,vikrant.r.mohite,Already updated
4444330,MYISP_Revamp_UI,vikrant.r.mohite,Already updated
4444334,MYISP_Revamp_UI,vikrant.r.mohite,Already updated
4444335,MYISP_Revamp_UI,vikrant.r.mohite,Already updated
4435598,MYISP_Revamp_UI,vikrant.r.mohite,Already updated
4454065,MYISP_Revamp_UI,vikrant.r.mohite,Already updated
4446723,myISP_IMS,supriya.a.dhingra,Already updated
4449701,myISP_IMS,supriya.a.dhingra,Already updated
