ID,Node Name,ExternalRef ID,Status
4444283,mySPIntegratedSolutionPlatform,N/A,No mapping found
4443658,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440906,MYISP_Revamp_UI,vikrant.r.mohite,Already updated
4443607,myISP_IMS,supriya.a.dhingra,Already updated
4443655,myISP_IMS,supriya.a.dhingra,Already updated
4443808,TechWarriors,sowjanya.kari,Already updated
4443940,NGTransformers,sowjanya.kari,Already updated
4440662,Pacemakers,sona.job,Already updated
4443449,BPMSBloggers,sona.job,Already updated
4436731,CodeCrafters,sona.job,Already updated
4437005,agentcrafters,shwetha.shriyan,Already updated
4432440,agentcrafters,shwetha.shriyan,Already updated
4421167,agentcrafters,shwetha.shriyan,Already updated
4308669,agentcrafters,shwetha.shriyan,Already updated
4371594,agentcrafters,shwetha.shriyan,Already updated
4373504,agentcrafters,shwetha.shriyan,Already updated
4373531,agentcrafters,shwetha.shriyan,Already updated
4425443,agentcrafters,shwetha.shriyan,Already updated
4440926,agentcrafters,shwetha.shriyan,Already updated
4439981,agentcrafters,shwetha.shriyan,Already updated
4438169,agentcrafters,shwetha.shriyan,Already updated
4439180,agentcrafters,shwetha.shriyan,Already updated
4443560,agentcrafters,shwetha.shriyan,Already updated
4443599,agentcrafters,shwetha.shriyan,Already updated
4443404,agentcrafters,shwetha.shriyan,Already updated
4443654,agentcrafters,shwetha.shriyan,Already updated
4443901,agentcrafters,shwetha.shriyan,Already updated
4443684,agentcrafters,shwetha.shriyan,Already updated
4443704,agentcrafters,shwetha.shriyan,Already updated
4444295,agentcrafters,shwetha.shriyan,Already updated
4443718,Pixel Pioneers,pandidurai.ks,Already updated
4443744,Pirates,pandidurai.ks,Already updated
4443880,Pixel Pioneers,pandidurai.ks,Already updated
4443301,GEN AI - Solution Super Agent,pandidurai.ks,Already updated
4438861,Ninjawarriors,pandidurai.ks,Already updated
4439448,GEN AI - Solution Super Agent,pandidurai.ks,Already updated
