ID,Node Name,ExternalRef ID,Status
4440871,SolutionDataLake,vishal.v.nadpurohit,Already updated
4443429,SolutionDataLake,vishal.v.nadpurohit,Already updated
4443520,SolutionDataLake,vishal.v.nadpurohit,Already updated
4443658,SolutionDataLake,vishal.v.nadpurohit,Already updated
4440906,MYISP_Revamp_UI,vikrant.r.mohite,Already updated
4443607,myISP_IMS,supriya.a.dhingra,Already updated
4443702,Forecasters,sowjanya.kari,Already updated
4439679,TechPhantoms,sowjanya.kari,Already updated
4439665,CodeCrafters,sona.job,Already updated
4439907,Pacemakers,sona.job,Already updated
4436731,CodeCrafters,sona.job,Already updated
4443449,BPMSBloggers,sona.job,Already updated
4443455,CodeCrafters,sona.job,Already updated
4443467,CodeCrafters,sona.job,Already updated
4440662,Pacemakers,sona.job,Already updated
4442618,BPMSBloggers,sona.job,Already updated
4443404,agentcrafters,shwetha.shriyan,Already updated
4442305,agentcrafters,shwetha.shriyan,Already updated
4439981,agentcrafters,shwetha.shriyan,Already updated
4440926,agentcrafters,shwetha.shriyan,Already updated
4443560,agentcrafters,shwetha.shriyan,Already updated
4443564,agentcrafters,shwetha.shriyan,Already updated
4443599,agentcrafters,shwetha.shriyan,Already updated
4443704,agentcrafters,shwetha.shriyan,Already updated
4443706,agentcrafters,shwetha.shriyan,Already updated
4443709,agentcrafters,shwetha.shriyan,Already updated
4443680,agentcrafters,shwetha.shriyan,Already updated
4443684,agentcrafters,shwetha.shriyan,Already updated
4443691,agentcrafters,shwetha.shriyan,Already updated
4443723,agentcrafters,shwetha.shriyan,Already updated
4437005,agentcrafters,shwetha.shriyan,Already updated
4432440,agentcrafters,shwetha.shriyan,Already updated
4421229,agentcrafters,shwetha.shriyan,Already updated
4308669,agentcrafters,shwetha.shriyan,Already updated
4371594,agentcrafters,shwetha.shriyan,Already updated
4373504,agentcrafters,shwetha.shriyan,Already updated
4373531,agentcrafters,shwetha.shriyan,Already updated
4425443,agentcrafters,shwetha.shriyan,Already updated
4427078,agentcrafters,shwetha.shriyan,Already updated
4439653,agentcrafters,shwetha.shriyan,Already updated
4438145,agentcrafters,shwetha.shriyan,Already updated
4438169,agentcrafters,shwetha.shriyan,Already updated
4438278,agentcrafters,shwetha.shriyan,Already updated
4439180,agentcrafters,shwetha.shriyan,Already updated
4439448,GEN AI - Solution Super Agent,pandidurai.ks,Already updated
4439559,GEN AI - Solution Super Agent,pandidurai.ks,Already updated
4439437,GEN AI - Solution Super Agent,pandidurai.ks,Already updated
4439689,GEN AI - Solution Super Agent,pandidurai.ks,Already updated
4440057,GEN AI - Solution Super Agent,pandidurai.ks,Already updated
